Character,Pinyin,Tone
一,yi,1
𪛙,yi,1
丁,ding,1
丂,kao,3
七,qi,1
𠀂,yi,3
丈,zhang,4
三,san,1
上,shang,4
下,xia,4
丌,ji,1
𪛚,shang,4
不,bu,4
丏,mian,3
丐,gai,4
丑,chou,3
𠀊,cao,1
且,qie,3
丕,pi,1
世,shi,4
丘,qiu,1
丙,bing,3
𠀏,tun,2
𠀐,zhong,1
㐁,tian,4
丞,cheng,2
𠀣,qi,1
𪜄,po,3
𠁁,dou,4
𠁓,yu,4
丨,gun,3
丩,jiu,1
丫,ya,1
中,zhong,1
丮,ji,3
丯,jie,4
丱,guan,4
串,chuan,4
丳,chan,3
𠁭,qi,2
丵,zhuo,2
丶,zhu,3
丷,ba,1
丸,wan,2
丹,dan,1
主,zhu,3
丼,dan,3
𪜋,zhu,3
𠂃,qiu,2
𠂅,weng,4
丿,pie,3
乀,fu,2
乂,yi,4
乃,nai,3
𠂆,yi,4
久,jiu,3
乇,zhe,2
之,zhi,1
尹,yin,3
乍,zha,4
乎,hu,1
乏,fa,2
𠂔,zi,3
㐆,yin,3
乑,yin,2
乒,ping,1
乓,pang,1
𠂢,pai,4
乖,guai,1
𪜍,qian,1
乘,cheng,2
乙,yi,3
𠃌,gun,3
乜,mie,1
九,jiu,3
乞,qi,3
也,ye,3
乣,jiu,1
㐌,yi,2
乩,ji,1
乪,nang,2
乭,shi,2
乯,hu,1
㐖,xie,2
乳,ru,3
乴,xue,2
乵,yan,3
乸,na,3
𠃺,jiu,4
𤱡,tuo,2
亃,lin,3
亄,yi,4
𠄅,ye,4
𢆡,nian,1
亅,jue,2
𠄌,jue,2
了,le,0
𠄍,jie,2
𠄏,diao,3
𠄑,jue,2
予,yu,3
𠄖,ling,2
𪜜,bei,4
㐨,xu,4
事,shi,4
𠄚,ting,1
𪜝,qi,2
二,er,4
亍,chu,4
互,hu,4
亓,qi,2
五,wu,3
井,jing,3
些,xie,1
㐩,xing,2
亟,ji,2
𠄮,mo,3
𠄱,yi,2
𪜞,zhen,1
𪜟,shu,2
亠,tou,2
亡,wang,2
亢,kang,4
交,jiao,1
亥,hai,4
亦,yi,4
亨,heng,1
㐭,lin,3
享,xiang,3
京,jing,1
𠅌,yi,2
亭,ting,2
亮,liang,4
亳,bo,2
𠅤,xi,2
亴,you,4
𠅬,Bao,1
亶,dan,3
𠆁,luo,3
𠆎,wei,2
𪜦,ting,2
亹,wei,3
人,ren,2
亻,ren,2
什,shen,2
仁,ren,2
仂,le,4
仃,ding,1
仄,ze,4
仇,chou,2
仈,Ba,1
今,jin,1
介,jie,4
仍,reng,2
𠆧,tu,2
㐱,ling,4
㐲,dai,4
仔,zi,3
仕,shi,4
他,ta,1
仗,zhang,4
付,fu,4
仙,xian,1
仚,xian,1
仛,cha,4
仜,hong,2
仝,tong,2
仞,ren,4
仟,qian,1
仠,gan,3
仡,yi,4
仢,bo,2
代,dai,4
令,ling,4
以,yi,3
仨,sa,1
仩,shang,4
仫,mu,4
𠆩,fan,4
㐸,ci,4
㐻,nei,4
仯,chao,4
仰,yang,3
仱,qin,2
仲,zhong,4
仳,pi,3
仴,wo,4
仵,wu,3
件,jian,4
仸,yao,3
仹,feng,1
任,ren,4
份,fen,4
仿,fang,3
伀,zhong,1
伃,yu,2
伄,diao,4
伅,dun,4
伆,wu,4
伈,xin,3
伉,kang,4
伊,yi,1
伋,ji,2
伌,ai,4
伍,wu,3
伎,ji,4
伏,fu,2
休,xiu,1
伒,jin,4
伔,dan,3
伕,fu,1
伝,yun,2
伢,ya,2
伬,che,3
𠆵,ni,2
𠆶,dan,4
𠆾,liu,4
𠇋,dan,3
㑁,zhuo,1
伭,xian,2
伯,bo,2
估,gu,1
伳,xie,4
伴,ban,4
伶,ling,2
伷,zhou,4
伸,shen,1
伹,qu,1
伺,si,4
伻,beng,1
似,si,4
伽,qie,2
伾,pi,1
伿,yi,4
佁,yi,3
佂,zheng,1
佃,tian,2
佄,han,1
佅,mai,4
但,dan,4
佉,qu,1
佊,bi,3
佋,zhao,1
佌,ci,3
位,wei,4
低,di,1
住,zhu,4
佐,zuo,3
佑,you,4
佒,yang,1
何,he,2
佖,bi,4
佗,tuo,2
佘,She,2
佚,yi,4
佛,fo,2
作,zuo,4
佝,gou,1
佞,ning,4
佟,tong,2
你,ni,3
佡,xian,1
佢,qu,2
佤,wa,3
佧,ka,3
佨,bao,1
𪜮,mu,4
㑉,su,4
㑊,yi,4
㑋,qiong,4
㑌,kuang,1
㑍,lei,3
㑎,nao,3
㑓,jun,4
佩,pei,4
佪,hui,2
佫,ge,2
佬,lao,3
佭,xiang,2
佮,ge,2
佯,yang,2
佰,bai,3
佳,jia,1
佴,er,4
佶,ji,2
佷,hen,3
佸,huo,2
佹,gui,3
佺,quan,2
佻,tiao,1
佼,jiao,3
佽,ci,4
佾,yi,4
使,shi,3
侀,xing,2
侁,shen,1
侂,tuo,1
侃,kan,3
侅,gai,1
侇,yi,2
侈,chi,3
侉,kua,3
侊,guang,1
例,li,4
侍,shi,4
侎,mi,3
侏,zhu,1
侐,xu,4
侑,you,4
侒,an,1
侓,lu,4
侔,mou,2
侕,er,2
侗,tong,2
侘,cha,4
侙,chi,1
侚,xun,4
供,gong,1
侜,zhou,1
依,yi,1
侞,ru,2
侟,cun,2
侫,ning,4
鿇,zheng,1
𠈅,shou,1
𠈊,nie,3
𠈬,xiao,1
㑗,shen,1
㑙,die,2
㑚,nuo,2
㑛,su,4
㑜,yi,4
㑝,long,4
㑟,beng,3
侮,wu,3
侯,hou,2
侱,cheng,3
侲,zhen,4
侳,zuo,4
侴,chou,3
侵,qin,1
侸,dou,1
侹,ting,3
侺,shen,4
侻,tuo,1
侼,bo,2
侾,xiao,1
便,bian,4
俀,tui,3
促,cu,4
俄,e,2
俅,qiu,2
俆,xu,2
俇,guang,4
俈,ku,4
俉,wu,3
俊,jun,4
俋,yi,4
俍,liang,2
俎,zu,3
俏,qiao,4
俐,li,4
俑,yong,3
俒,hun,4
俕,san,4
俖,pei,3
俗,su,2
俘,fu,2
俙,xi,1
俚,li,3
俜,ping,1
保,bao,3
俞,yu,2
俟,si,4
信,xin,4
俤,di,4
俧,zhi,4
俬,si,1
𠈭,lao,2
𠈰,dan,4
𠈱,suo,1
𠈵,mang,3
𠈶,yi,2
𠈸,te,4
𠈺,bi,4
㑣,lan,2
㑥,yi,4
㑦,li,4
㑧,ji,4
㑨,yu,3
修,xiu,1
俯,fu,3
俰,huo,4
俱,ju,4
俳,pai,2
俵,biao,4
俶,chu,4
俷,fei,4
俸,feng,4
俺,an,3
俾,bi,3
俿,chi,2
倁,zhi,1
倄,yao,2
倅,cui,4
倇,wan,3
倊,zong,4
倌,guan,1
倍,bei,4
倏,shu,1
倐,shu,1
倒,dao,3
倓,tan,2
倔,jue,2
倕,chui,2
倗,peng,2
倘,tang,3
候,hou,4
倚,yi,3
倛,qi,1
倜,ti,4
倝,gan,4
倞,jing,4
借,jie,4
倠,hui,1
倡,chang,4
倢,jie,2
倥,kong,1
倦,juan,4
倧,zong,1
倨,ju,4
倩,qian,4
倪,ni,2
倬,zhuo,1
倭,wo,1
倮,luo,3
倯,song,1
倰,leng,2
倱,hun,4
倳,zi,4
倴,ben,1
倵,wu,3
倷,nai,3
值,zhi,2
倽,sha,4
𠉤,da,2
𠊎,ai,2
㑰,hui,4
㑱,rao,3
倻,ye,1
偁,cheng,1
偃,yan,3
偄,ruan,3
偅,zhong,4
偆,chun,1
假,jia,3
偈,ji,4
偊,yu,3
偋,bing,4
偌,ruo,4
偍,ti,2
偎,wei,1
偏,pian,1
偐,yan,4
偓,wo,4
偔,e,4
偕,xie,2
偖,che,3
偗,sheng,3
偙,di,4
做,zuo,4
偛,cha,1
停,ting,2
偝,bei,4
偞,xie,4
偟,huang,2
偠,yao,3
偡,zhan,4
偢,chou,3
偣,yan,1
偤,you,2
健,jian,4
偦,xu,3
偨,ci,1
偪,bi,1
偫,zhi,4
偭,mian,3
偮,ji,2
偯,yi,3
偰,xie,4
偱,xun,2
偲,si,1
偳,duan,1
偶,ou,3
偷,tou,1
偹,bei,4
𠊧,bing,4
𠊫,qiong,2
𠊬,jue,2
𠊰,gua,3
𠊲,tu,1
𠋧,qie,1
𱎼,ge,3
㑵,han,4
㑸,yao,2
傀,kui,3
傂,zhi,4
傃,su,4
傄,xia,1
傅,fu,4
傆,yuan,4
